m_B,deltaE,nFlux
1.022,0,0
1.022,10,0
1.022,20,6
1.022,30,21
1.022,40,39
1.022,50,59
1.022,60,87
1.022,70,151
1.022,80,266
1.022,90,440
1.022,100,628
1.022,110,863
1.022,120,1251
1.022,130,1336
1.022,140,1618
1.022,150,2295
1.022,160,2479
1.022,170,2672
1.022,180,3178
1.022,190,3426
1.022,200,4040
1.022,210,4365
1.022,220,6056
1.022,230,7679
1.022,240,8661
1.022,250,10800
1.022,260,13413
1.022,270,16242
1.022,280,20206
1.022,290,21616
1.022,300,24762
1.022,310,26141
1.022,320,29931
1.022,330,30131
1.022,340,37313
1.022,350,38427
1.022,360,43417
1.022,370,45541
1.022,380,49008
1.022,390,48800
1.022,400,45447
1.022,410,47034
1.022,420,48707
1.022,430,55155
1.022,440,59530
1.022,450,57088
1.022,460,54524
1.022,470,53572
1.022,480,63575
1.022,490,61769
1.022,500,53034
1.022,510,59763
1.022,520,63257
1.022,530,61640
1.022,540,53395
1.022,550,55207
1.022,560,60520
1.022,570,58248
1.022,580,59769
1.022,590,69915
1.022,600,79746
1.022,610,78408
1.022,620,64684
1.022,630,63062
1.022,640,55318
1.022,650,49237
1.022,660,54214
1.022,670,69941
1.022,680,59296
1.022,690,57677
1.022,700,52978
1.022,710,61023
1.022,720,62194
1.022,730,56426
1.022,740,56777
1.022,750,64048
1.022,760,73006
1.022,770,61726
1.022,780,73733
1.022,790,54729
1.022,800,56092
1.022,810,61767
1.022,820,55932
1.022,830,58036
1.022,840,59367
1.022,850,57289
1.022,860,42648
1.022,870,55615
1.022,880,53795
1.022,890,52153
1.022,900,58127
1.022,910,53758
1.022,920,61709
1.022,930,59154
1.022,940,48950
1.022,950,44886
1.022,960,44983
1.022,970,53522
1.022,980,58960
1.022,990,55150
1.70978,0,0
1.70978,10,1
1.70978,20,6
1.70978,30,23
1.70978,40,36
1.70978,50,61
1.70978,60,101
1.70978,70,142
1.70978,80,279
1.70978,90,414
1.70978,100,691
1.70978,110,894
1.70978,120,1282
1.70978,130,1384
1.70978,140,1606
1.70978,150,2242
1.70978,160,2534
1.70978,170,2581
1.70978,180,3230
1.70978,190,3433
1.70978,200,4008
1.70978,210,4561
1.70978,220,6299
1.70978,230,7760
1.70978,240,9000
1.70978,250,11203
1.70978,260,13734
1.70978,270,16449
1.70978,280,20316
1.70978,290,22192
1.70978,300,24779
1.70978,310,26694
1.70978,320,30373
1.70978,330,30485
1.70978,340,37991
1.70978,350,38745
1.70978,360,44438
1.70978,370,45693
1.70978,380,49790
1.70978,390,48888
1.70978,400,46172
1.70978,410,47417
1.70978,420,49024
1.70978,430,55184
1.70978,440,60798
1.70978,450,56957
1.70978,460,54301
1.70978,470,54325
1.70978,480,64832
1.70978,490,61225
1.70978,500,53656
1.70978,510,60148
1.70978,520,63897
1.70978,530,61164
1.70978,540,53068
1.70978,550,55800
1.70978,560,60801
1.70978,570,57936
1.70978,580,60549
1.70978,590,71242
1.70978,600,80959
1.70978,610,76639
1.70978,620,64907
1.70978,630,63277
1.70978,640,54575
1.70978,650,48924
1.70978,660,55754
1.70978,670,70394
1.70978,680,58990
1.70978,690,57338
1.70978,700,52714
1.70978,710,61907
1.70978,720,61313
1.70978,730,56727
1.70978,740,57128
1.70978,750,65029
1.70978,760,73379
1.70978,770,61361
1.70978,780,73359
1.70978,790,54294
1.70978,800,56936
1.70978,810,61117
1.70978,820,56072
1.70978,830,59073
1.70978,840,58571
1.70978,850,57306
1.70978,860,42201
1.70978,870,55654
1.70978,880,54291
1.70978,890,52747
1.70978,900,58077
1.70978,910,52664
1.70978,920,63253
1.70978,930,58411
1.70978,940,48283
1.70978,950,45294
1.70978,960,45017
1.70978,970,54374
1.70978,980,58700
1.70978,990,55174
2.39756,0,0
2.39756,10,2
2.39756,20,12
2.39756,30,24
2.39756,40,46
2.39756,50,61
2.39756,60,114
2.39756,70,162
2.39756,80,291
2.39756,90,409
2.39756,100,724
2.39756,110,918
2.39756,120,1245
2.39756,130,1466
2.39756,140,1660
2.39756,150,2264
2.39756,160,2432
2.39756,170,2668
2.39756,180,3182
2.39756,190,3529
2.39756,200,3954
2.39756,210,4630
2.39756,220,6362
2.39756,230,7861
2.39756,240,9247
2.39756,250,11577
2.39756,260,14107
2.39756,270,16887
2.39756,280,20801
2.39756,290,22640
2.39756,300,25118
2.39756,310,27457
2.39756,320,30775
2.39756,330,31074
2.39756,340,38591
2.39756,350,39799
2.39756,360,45394
2.39756,370,46290
2.39756,380,50558
2.39756,390,49343
2.39756,400,46902
2.39756,410,47329
2.39756,420,50013
2.39756,430,55453
2.39756,440,61958
2.39756,450,57592
2.39756,460,53954
2.39756,470,54851
2.39756,480,66095
2.39756,490,61545
2.39756,500,53713
2.39756,510,61197
2.39756,520,63916
2.39756,530,61014
2.39756,540,53166
2.39756,550,56595
2.39756,560,61047
2.39756,570,58026
2.39756,580,62108
2.39756,590,71544
2.39756,600,82251
2.39756,610,75681
2.39756,620,65285
2.39756,630,62500
2.39756,640,54397
2.39756,650,48674
2.39756,660,57740
2.39756,670,70215
2.39756,680,59251
2.39756,690,56971
2.39756,700,53373
2.39756,710,62600
2.39756,720,61188
2.39756,730,56702
2.39756,740,57449
2.39756,750,66338
2.39756,760,74061
2.39756,770,60886
2.39756,780,72958
2.39756,790,54085
2.39756,800,57882
2.39756,810,60329
2.39756,820,56046
2.39756,830,60161
2.39756,840,57868
2.39756,850,56924
2.39756,860,42795
2.39756,870,55564
2.39756,880,54967
2.39756,890,53370
2.39756,900,57447
2.39756,910,52706
2.39756,920,64344
2.39756,930,57803
2.39756,940,46864
2.39756,950,45825
2.39756,960,44407
2.39756,970,55215
2.39756,980,58668
2.39756,990,55704
3.08534,0,0
3.08534,10,0
3.08534,20,10
3.08534,30,27
3.08534,40,51
3.08534,50,70
3.08534,60,122
3.08534,70,178
3.08534,80,302
3.08534,90,427
3.08534,100,688
3.08534,110,941
3.08534,120,1315
3.08534,130,1451
3.08534,140,1772
3.08534,150,2247
3.08534,160,2721
3.08534,170,2727
