#      mass       lower       upper
1.0220000e+00 2.2051307e-13 5.0941380e-09
1.0270100e+00 2.2051307e-13 5.0941380e-09
1.0320400e+00 2.2051307e-13 5.0941380e-09
1.0371000e+00 2.2051307e-13 5.0941380e-09
1.0421800e+00 2.2051307e-13 5.0941380e-09
1.0472900e+00 2.2051307e-13 5.0941380e-09
1.0524200e+00 2.2051307e-13 5.0941380e-09
1.0575800e+00 2.2051307e-13 5.0941380e-09
1.0627600e+00 2.2051307e-13 5.0941380e-09
1.0679700e+00 2.2051307e-13 5.0941380e-09
1.0732000e+00 2.2051307e-13 5.0941380e-09
1.0784600e+00 2.2051307e-13 5.0941380e-09
1.0837400e+00 2.2051307e-13 5.0941380e-09
1.0890600e+00 2.2051307e-13 5.0941380e-09
1.0943900e+00 2.2051307e-13 5.0941380e-09
1.0997600e+00 2.2051307e-13 5.0941380e-09
1.1051400e+00 2.2051307e-13 5.0941380e-09
1.1105600e+00 2.2051307e-13 5.0941380e-09
1.1160000e+00 2.2051307e-13 4.2292429e-09
1.1214700e+00 2.2051307e-13 4.2292429e-09
1.1269700e+00 2.2051307e-13 4.2292429e-09
1.1324900e+00 2.2051307e-13 4.2292429e-09
1.1380400e+00 2.2051307e-13 4.2292429e-09
1.1436200e+00 1.8307383e-13 4.2292429e-09
1.1492200e+00 1.8307383e-13 4.2292429e-09
1.1548500e+00 1.8307383e-13 4.2292429e-09
1.1605100e+00 1.8307383e-13 4.2292429e-09
1.1662000e+00 1.8307383e-13 4.2292429e-09
1.1719100e+00 1.8307383e-13 4.2292429e-09
1.1776500e+00 1.8307383e-13 4.2292429e-09
1.1834300e+00 1.8307383e-13 4.2292429e-09
1.1892300e+00 1.8307383e-13 4.2292429e-09
1.1950500e+00 1.8307383e-13 4.2292429e-09
1.2009100e+00 1.8307383e-13 4.2292429e-09
1.2067900e+00 1.8307383e-13 4.2292429e-09
1.2127100e+00 1.8307383e-13 4.2292429e-09
1.2186500e+00 1.8307383e-13 3.5111917e-09
1.2246200e+00 1.8307383e-13 3.5111917e-09
1.2306200e+00 1.8307383e-13 3.5111917e-09
1.2366500e+00 1.8307383e-13 3.5111917e-09
1.2427100e+00 1.8307383e-13 3.5111917e-09
1.2488000e+00 1.8307383e-13 3.5111917e-09
1.2549200e+00 1.8307383e-13 3.5111917e-09
1.2610700e+00 1.8307383e-13 3.5111917e-09
1.2672500e+00 1.8307383e-13 3.5111917e-09
1.2734600e+00 1.8307383e-13 3.5111917e-09
1.2797000e+00 1.8307383e-13 3.5111917e-09
1.2859700e+00 1.8307383e-13 3.5111917e-09
1.2922800e+00 1.8307383e-13 3.5111917e-09
1.2986100e+00 1.8307383e-13 3.5111917e-09
1.3049700e+00 1.8307383e-13 3.5111917e-09
1.3113700e+00 1.8307383e-13 3.5111917e-09
1.3177900e+00 1.8307383e-13 3.5111917e-09
1.3242500e+00 1.8307383e-13 2.9150531e-09
1.3307400e+00 1.8307383e-13 2.9150531e-09
