m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,31,0
1.022,80,37,0
1.022,90,54,0
1.022,100,41,0
1.022,110,29,0
1.022,120,31,0
1.022,130,30,0
1.022,140,24,0
1.022,150,49,0
1.022,160,34,0
1.022,170,28,0
1.022,180,43,0
1.022,190,56,0
1.022,200,29,0
1.022,210,39,0
1.022,220,29,0
1.022,230,26,0
1.022,240,16,0
1.022,250,54,0
1.022,260,30,0
1.022,270,41,0
1.022,280,24,1
1.022,290,41,2
1.022,300,38,2
1.022,310,31,5
1.022,320,35,6
1.022,330,40,3
1.022,340,27,2
1.022,350,43,1
1.022,360,30,1
1.022,370,39,5
1.022,380,26,3
1.022,390,33,2
1.022,400,41,1
1.022,410,25,2
1.022,420,22,1
1.022,430,25,4
1.022,440,25,6
1.022,450,29,2
1.022,460,40,4
1.022,470,47,2
1.022,480,36,1
1.022,490,33,5
1.022,500,21,3
1.022,510,28,9
1.022,520,27,10
1.022,530,22,9
1.022,540,30,5
1.022,550,19,5
1.022,560,31,5
1.022,570,37,4
1.022,580,37,8
1.022,590,34,5
1.022,600,19,1
1.022,610,16,11
1.022,620,19,6
1.022,630,18,1
1.022,640,17,6
1.022,650,11,3
1.022,660,19,4
1.022,670,19,3
1.022,680,13,2
1.022,690,16,6
1.022,700,10,10
1.022,710,25,6
1.022,720,15,3
1.022,730,16,6
1.022,740,16,4
1.022,750,9,3
1.022,760,13,5
1.022,770,11,5
1.022,780,17,6
1.022,790,17,4
1.022,800,11,5
1.022,810,15,3
1.022,820,14,3
1.022,830,17,5
1.022,840,11,12
1.022,850,18,11
1.022,860,12,5
1.022,870,15,7
1.022,880,27,2
1.022,890,32,5
1.022,900,19,18
1.022,910,11,4
1.022,920,10,10
1.022,930,14,3
1.022,940,10,11
1.022,950,11,7
1.022,960,7,9
1.022,970,5,8
1.022,980,8,6
1.022,990,5,15
1.08898,0,0,0
1.08898,10,0,0
1.08898,20,0,0
1.08898,30,0,0
1.08898,40,0,0
1.08898,50,0,0
1.08898,60,0,0
1.08898,70,26,0
1.08898,80,42,0
1.08898,90,39,0
1.08898,100,42,0
1.08898,110,21,0
1.08898,120,23,0
1.08898,130,42,0
