m_B,deltaE,nFlux
1.022,0,0
1.022,10,2
1.022,20,4
1.022,30,22
1.022,40,27
1.022,50,55
1.022,60,119
1.022,70,128
1.022,80,169
1.022,90,372
1.022,100,384
1.022,110,574
1.022,120,1250
1.022,130,1035
1.022,140,1208
1.022,150,1519
1.022,160,1594
1.022,170,1731
1.022,180,2270
1.022,190,2797
1.022,200,2987
1.022,210,3638
1.022,220,6802
1.022,230,6618
1.022,240,4231
1.022,250,9153
1.022,260,9185
1.022,270,7348
1.022,280,15227
1.022,290,16816
1.022,300,20181
1.022,310,24177
1.022,320,23108
1.022,330,24367
1.022,340,25749
1.022,350,33061
1.022,360,28917
1.022,370,37321
1.022,380,28840
1.022,390,41583
1.022,400,36955
1.022,410,49116
1.022,420,58149
1.022,430,61011
1.022,440,53058
1.022,450,55724
1.022,460,81865
1.022,470,77559
1.022,480,37413
1.022,490,12536
1.022,500,19458
1.022,510,46070
1.022,520,37680
1.022,530,21132
1.022,540,22417
1.022,550,30749
1.022,560,84625
1.022,570,76514
1.022,580,51304
1.022,590,49546
1.022,600,60612
1.022,610,45073
1.022,620,52011
1.022,630,64552
1.022,640,49366
1.022,650,54813
1.022,660,34585
1.022,670,41655
1.022,680,52491
1.022,690,45591
1.022,700,38059
1.022,710,55078
1.022,720,63102
1.022,730,46933
1.022,740,21185
1.022,750,60085
1.022,760,175436
1.022,770,94790
1.022,780,92512
1.022,790,47582
1.022,800,52067
1.022,810,51008
1.022,820,66588
1.022,830,42740
1.022,840,52768
1.022,850,19889
1.022,860,20017
1.022,870,61023
1.022,880,38419
1.022,890,37248
1.022,900,31974
1.022,910,40600
1.022,920,16884
1.022,930,61075
1.022,940,38709
1.022,950,36853
1.022,960,22787
1.022,970,24152
1.022,980,35180
1.022,990,56301
1.70978,0,0
1.70978,10,2
1.70978,20,7
1.70978,30,24
1.70978,40,44
1.70978,50,56
1.70978,60,119
1.70978,70,129
1.70978,80,165
1.70978,90,388
1.70978,100,404
1.70978,110,588
1.70978,120,1223
1.70978,130,1211
1.70978,140,1106
1.70978,150,1467
1.70978,160,1516
1.70978,170,1927
1.70978,180,2277
1.70978,190,2787
1.70978,200,3255
1.70978,210,3432
1.70978,220,7283
1.70978,230,6133
1.70978,240,4275
1.70978,250,9672
1.70978,260,9070
1.70978,270,7222
1.70978,280,16098
1.70978,290,17290
1.70978,300,21151
1.70978,310,23806
1.70978,320,23221
1.70978,330,25302
1.70978,340,26088
1.70978,350,33940
1.70978,360,28270
1.70978,370,37566
1.70978,380,29140
1.70978,390,41590
1.70978,400,38488
1.70978,410,49707
1.70978,420,59414
1.70978,430,61145
1.70978,440,52529
1.70978,450,58292
1.70978,460,84256
1.70978,470,75352
1.70978,480,34336
1.70978,490,12577
1.70978,500,21710
1.70978,510,46347
1.70978,520,36025
1.70978,530,22196
1.70978,540,21048
1.70978,550,33506
1.70978,560,88123
1.70978,570,73182
1.70978,580,50748
1.70978,590,50110
1.70978,600,59978
1.70978,610,43981
1.70978,620,54324
1.70978,630,64954
1.70978,640,48011
1.70978,650,55110
1.70978,660,33495
1.70978,670,42585
1.70978,680,53053
1.70978,690,46325
1.70978,700,36978
1.70978,710,58391
1.70978,720,60911
1.70978,730,47418
1.70978,740,19935
1.70978,750,67652
1.70978,760,180134
1.70978,770,89003
1.70978,780,90205
1.70978,790,47990
1.70978,800,50446
1.70978,810,54175
1.70978,820,64807
1.70978,830,42788
1.70978,840,51591
1.70978,850,17648
1.70978,860,23272
1.70978,870,59878
1.70978,880,37858
1.70978,890,39046
1.70978,900,30536
1.70978,910,39581
1.70978,920,18034
1.70978,930,61386
1.70978,940,39313
1.70978,950,35089
1.70978,960,23337
1.70978,970,24476
1.70978,980,35933
1.70978,990,58354
2.39756,0,0
2.39756,10,2
2.39756,20,8
2.39756,30,25
2.39756,40,41
2.39756,50,57
2.39756,60,97
2.39756,70,104
2.39756,80,183
2.39756,90,379
2.39756,100,382
2.39756,110,612
2.39756,120,1266
2.39756,130,1135
2.39756,140,1097
2.39756,150,1559
2.39756,160,1492
2.39756,170,2205
2.39756,180,2014
2.39756,190,2775
2.39756,200,3331
2.39756,210,3625
2.39756,220,7426
2.39756,230,6003
2.39756,240,4496
2.39756,250,10068
2.39756,260,8946
2.39756,270,7012
2.39756,280,16951
2.39756,290,17675
2.39756,300,22956
2.39756,310,23324
2.39756,320,23639
2.39756,330,25312
2.39756,340,27374
2.39756,350,34678
2.39756,360,28656
2.39756,370,37755
2.39756,380,29824
2.39756,390,40963
2.39756,400,40437
2.39756,410,50976
2.39756,420,60565
2.39756,430,59960
2.39756,440,53137
2.39756,450,60651
2.39756,460,86080
2.39756,470,72401
2.39756,480,31794
2.39756,490,12501
2.39756,500,23293
2.39756,510,47450
2.39756,520,33943
2.39756,530,22294
2.39756,540,21533
2.39756,550,36185
2.39756,560,92403
2.39756,570,68625
2.39756,580,51067
2.39756,590,50362
2.39756,600,59564
2.39756,610,43188
2.39756,620,56267
2.39756,630,66080
2.39756,640,46596
2.39756,650,54787
2.39756,660,32523
2.39756,670,44221
2.39756,680,55611
2.39756,690,45306
2.39756,700,36207
2.39756,710,62303
2.39756,720,58075
2.39756,730,48388
2.39756,740,18256
2.39756,750,76245
2.39756,760,186630
2.39756,770,82777
2.39756,780,87294
2.39756,790,48861
2.39756,800,49232
2.39756,810,56705
2.39756,820,62300
2.39756,830,42833
2.39756,840,50748
2.39756,850,16402
2.39756,860,26164
2.39756,870,58834
2.39756,880,37502
2.39756,890,40699
2.39756,900,28721
2.39756,910,38416
2.39756,920,19609
2.39756,930,61114
2.39756,940,40232
2.39756,950,33101
2.39756,960,23713
2.39756,970,25527
2.39756,980,35479
2.39756,990,60954
3.08534,0,0
3.08534,10,4
3.08534,20,6
3.08534,30,24
3.08534,40,38
3.08534,50,57
3.08534,60,131
3.08534,70,84
3.08534,80,195
3.08534,90,393
3.08534,100,439
3.08534,110,709
3.08534,120,1321
3.08534,130,1120
3.08534,140,1089
3.08534,150,1581
3.08534,160,1514
3.08534,170,2449
3.08534,180,1978
3.08534,190,2765
3.08534,200,3319
3.08534,210,4156
3.08534,220,7246
3.08534,230,5704
3.08534,240,4467
3.08534,250,10418
3.08534,260,9211
3.08534,270,7623
3.08534,280,16987
3.08534,290,18652
3.08534,300,24392
3.08534,310,22862
3.08534,320,23716
3.08534,330,26203
3.08534,340,29038
3.08534,350,35749
3.08534,360,29472
3.08534,370,37479
3.08534,380,31511
3.08534,390,41168
3.08534,400,42182
3.08534,410,52722
3.08534,420,63126
3.08534,430,59074
3.08534,440,53269
3.08534,450,64331
3.08534,460,88141
3.08534,470,68765
3.08534,480,29869
3.08534,490,12914
3.08534,500,25434
3.08534,510,48502
3.08534,520,31644
3.08534,530,23047
3.08534,540,21510
3.08534,550,38930
3.08534,560,97402
3.08534,570,63308
3.08534,580,51975
3.08534,590,50322
3.08534,600,59711
3.08534,610,42047
3.08534,620,58379
3.08534,630,65959
3.08534,640,47608
3.08534,650,54898
3.08534,660,30642
3.08534,670,45055
3.08534,680,59543
3.08534,690,44374
3.08534,700,35251
3.08534,710,66667
3.08534,720,55104
3.08534,730,48255
3.08534,740,17265
3.08534,750,84428
3.08534,760,196923
3.08534,770,75541
3.08534,780,83923
3.08534,790,49069
3.08534,800,49754
3.08534,810,56680
3.08534,820,61840
3.08534,830,42425
3.08534,840,50575
3.08534,850,14659
3.08534,860,29891
3.08534,870,57667
3.08534,880,37315
3.08534,890,40795
3.08534,900,28149
3.08534,910,38001
3.08534,920,20295
3.08534,930,60236
3.08534,940,42992
3.08534,950,29827
3.08534,960,24816
3.08534,970,25765
3.08534,980,35531
3.08534,990,64354
3.77312,0,0
