m_B,deltaE,nFlux
1.022,0,0
1.022,10,0
1.022,20,0
1.022,30,0
1.022,40,0
1.022,50,0
1.022,60,1
1.022,70,272
1.022,80,534
1.022,90,470
1.022,100,332
1.022,110,312
1.022,120,290
1.022,130,330
1.022,140,349
1.022,150,426
1.022,160,455
1.022,170,445
1.022,180,414
1.022,190,395
1.022,200,369
1.022,210,467
1.022,220,402
1.022,230,458
1.022,240,410
1.022,250,378
1.022,260,405
1.022,270,421
1.022,280,403
1.022,290,446
1.022,300,471
1.022,310,458
1.022,320,458
1.022,330,395
1.022,340,408
1.022,350,373
1.022,360,405
1.022,370,379
1.022,380,382
1.022,390,408
1.022,400,357
1.022,410,346
1.022,420,377
1.022,430,347
1.022,440,423
1.022,450,395
1.022,460,337
1.022,470,404
1.022,480,421
1.022,490,346
1.022,500,362
1.022,510,389
1.022,520,293
1.022,530,332
1.022,540,322
1.022,550,349
1.022,560,349
1.022,570,379
1.022,580,343
1.022,590,289
1.022,600,252
1.022,610,274
1.022,620,226
1.022,630,219
1.022,640,255
1.022,650,224
1.022,660,231
1.022,670,221
1.022,680,229
1.022,690,237
1.022,700,190
1.022,710,182
1.022,720,180
1.022,730,194
1.022,740,175
1.022,750,202
1.022,760,186
1.022,770,168
1.022,780,168
1.022,790,147
1.022,800,158
1.022,810,118
1.022,820,141
1.022,830,178
1.022,840,185
1.022,850,131
1.022,860,135
1.022,870,124
1.022,880,113
1.022,890,173
1.022,900,125
1.022,910,114
1.022,920,111
1.022,930,113
1.022,940,111
1.022,950,84
1.022,960,71
1.022,970,73
1.022,980,68
1.022,990,93
1.02701,0,0
1.02701,10,0
1.02701,20,0
1.02701,30,0
1.02701,40,0
1.02701,50,0
1.02701,60,1
1.02701,70,297
1.02701,80,493
1.02701,90,453
1.02701,100,361
1.02701,110,315
1.02701,120,290
1.02701,130,325
1.02701,140,338
1.02701,150,414
1.02701,160,394
1.02701,170,390
1.02701,180,442
1.02701,190,407
1.02701,200,423
1.02701,210,428
1.02701,220,406
1.02701,230,429
1.02701,240,369
1.02701,250,402
1.02701,260,407
1.02701,270,435
1.02701,280,386
1.02701,290,472
1.02701,300,416
1.02701,310,450
1.02701,320,465
1.02701,330,403
1.02701,340,448
1.02701,350,398
1.02701,360,424
1.02701,370,415
1.02701,380,374
1.02701,390,432
1.02701,400,394
1.02701,410,361
1.02701,420,351
1.02701,430,360
1.02701,440,409
1.02701,450,398
1.02701,460,340
1.02701,470,339
1.02701,480,416
1.02701,490,359
1.02701,500,340
1.02701,510,337
1.02701,520,305
1.02701,530,309
1.02701,540,345
1.02701,550,304
1.02701,560,349
1.02701,570,367
1.02701,580,312
1.02701,590,345
1.02701,600,269
1.02701,610,239
1.02701,620,238
1.02701,630,228
1.02701,640,262
1.02701,650,232
1.02701,660,239
1.02701,670,244
1.02701,680,227
1.02701,690,233
1.02701,700,194
1.02701,710,184
1.02701,720,218
1.02701,730,178
1.02701,740,198
1.02701,750,189
1.02701,760,172
1.02701,770,199
1.02701,780,183
1.02701,790,155
1.02701,800,167
1.02701,810,155
1.02701,820,178
1.02701,830,160
1.02701,840,182
1.02701,850,134
1.02701,860,156
1.02701,870,133
1.02701,880,125
1.02701,890,185
1.02701,900,129
1.02701,910,109
1.02701,920,117
1.02701,930,97
1.02701,940,99
1.02701,950,81
1.02701,960,72
1.02701,970,81
1.02701,980,70
1.02701,990,83
1.03204,0,0
1.03204,10,0
1.03204,20,0
1.03204,30,0
1.03204,40,1
1.03204,50,0
1.03204,60,0
1.03204,70,312
1.03204,80,475
1.03204,90,437
1.03204,100,345
1.03204,110,294
1.03204,120,322
1.03204,130,317
1.03204,140,360
1.03204,150,431
1.03204,160,436
1.03204,170,392
1.03204,180,443
1.03204,190,387
1.03204,200,400
1.03204,210,420
1.03204,220,420
1.03204,230,399
1.03204,240,405
1.03204,250,447
1.03204,260,398
1.03204,270,404
1.03204,280,411
1.03204,290,460
1.03204,300,499
1.03204,310,414
1.03204,320,447
1.03204,330,451
1.03204,340,452
1.03204,350,393
1.03204,360,488
1.03204,370,383
1.03204,380,395
1.03204,390,409
1.03204,400,389
1.03204,410,349
1.03204,420,389
1.03204,430,345
1.03204,440,458
1.03204,450,415
1.03204,460,333
1.03204,470,379
1.03204,480,430
1.03204,490,342
1.03204,500,362
1.03204,510,363
1.03204,520,321
1.03204,530,329
1.03204,540,302
1.03204,550,326
1.03204,560,327
1.03204,570,321
1.03204,580,323
1.03204,590,329
1.03204,600,249
1.03204,610,259
1.03204,620,250
1.03204,630,221
1.03204,640,256
1.03204,650,246
1.03204,660,244
1.03204,670,238
1.03204,680,222
1.03204,690,270
1.03204,700,190
1.03204,710,203
1.03204,720,181
1.03204,730,172
1.03204,740,160
1.03204,750,179
1.03204,760,167
1.03204,770,200
1.03204,780,168
1.03204,790,151
1.03204,800,154
1.03204,810,112
1.03204,820,152
1.03204,830,142
1.03204,840,173
1.03204,850,128
1.03204,860,149
1.03204,870,133
1.03204,880,122
1.03204,890,152
1.03204,900,123
1.03204,910,104
1.03204,920,110
1.03204,930,102
1.03204,940,95
1.03204,950,96
1.03204,960,74
1.03204,970,79
1.03204,980,72
1.03204,990,75
1.0371,0,0
1.0371,10,0
1.0371,20,0
1.0371,30,0
1.0371,40,0
1.0371,50,1
1.0371,60,1
1.0371,70,269
1.0371,80,507
1.0371,90,464
1.0371,100,337
1.0371,110,287
1.0371,120,348
1.0371,130,326
1.0371,140,364
1.0371,150,416
1.0371,160,405
1.0371,170,405
1.0371,180,417
1.0371,190,410
1.0371,200,355
1.0371,210,422
1.0371,220,417
1.0371,230,468
1.0371,240,412
1.0371,250,377
1.0371,260,430
1.0371,270,405
1.0371,280,426
1.0371,290,432
1.0371,300,432
1.0371,310,463
1.0371,320,443
1.0371,330,393
1.0371,340,443
1.0371,350,414
1.0371,360,442
1.0371,370,418
1.0371,380,424
1.0371,390,440
1.0371,400,383
1.0371,410,328
1.0371,420,392
1.0371,430,360
1.0371,440,423
1.0371,450,372
1.0371,460,329
1.0371,470,354
