#      mass       lower       upper
 1.0220e+00  3.8535e-13  5.0941e-09
 1.0270e+00  3.8535e-13  5.0941e-09
 1.0320e+00  3.8535e-13  5.0941e-09
 1.0371e+00  3.8535e-13  5.0941e-09
 1.0422e+00  3.8535e-13  5.0941e-09
 1.0473e+00  3.8535e-13  5.0941e-09
 1.0524e+00  3.8535e-13  5.0941e-09
 1.0576e+00  3.8535e-13  5.0941e-09
 1.0628e+00  3.8535e-13  5.0941e-09
 1.0680e+00  3.8535e-13  5.0941e-09
 1.0732e+00  3.8535e-13  5.0941e-09
 1.0785e+00  3.8535e-13  5.0941e-09
 1.0837e+00  3.8535e-13  5.0941e-09
 1.0891e+00  3.8535e-13  5.0941e-09
 1.0944e+00  3.8535e-13  5.0941e-09
 1.0998e+00  3.8535e-13  5.0941e-09
 1.1051e+00  3.8535e-13  5.0941e-09
 1.1106e+00  3.8535e-13  5.0941e-09
 1.1160e+00  3.8535e-13  4.2292e-09
 1.1215e+00  3.8535e-13  4.2292e-09
 1.1270e+00  3.8535e-13  4.2292e-09
 1.1325e+00  3.8535e-13  4.2292e-09
 1.1380e+00  3.8535e-13  4.2292e-09
 1.1436e+00  3.1993e-13  4.2292e-09
 1.1492e+00  3.1993e-13  4.2292e-09
 1.1548e+00  3.1993e-13  4.2292e-09
 1.1605e+00  3.1993e-13  4.2292e-09
 1.1662e+00  3.1993e-13  4.2292e-09
 1.1719e+00  3.1993e-13  4.2292e-09
 1.1777e+00  3.1993e-13  4.2292e-09
 1.1834e+00  3.1993e-13  4.2292e-09
 1.1892e+00  3.1993e-13  4.2292e-09
 1.1950e+00  3.1993e-13  4.2292e-09
 1.2009e+00  3.1993e-13  4.2292e-09
 1.2068e+00  3.1993e-13  4.2292e-09
 1.2127e+00  3.1993e-13  4.2292e-09
 1.2187e+00  3.1993e-13  3.5112e-09
 1.2246e+00  3.1993e-13  3.5112e-09
 1.2306e+00  3.1993e-13  3.5112e-09
 1.2367e+00  3.1993e-13  3.5112e-09
 1.2427e+00  3.1993e-13  3.5112e-09
 1.2488e+00  3.1993e-13  3.5112e-09
 1.2549e+00  3.1993e-13  3.5112e-09
 1.2611e+00  3.1993e-13  3.5112e-09
 1.2672e+00  3.1993e-13  3.5112e-09
 1.2735e+00  3.1993e-13  3.5112e-09
 1.2797e+00  3.1993e-13  3.5112e-09
 1.2860e+00  3.1993e-13  3.5112e-09
 1.2923e+00  3.1993e-13  3.5112e-09
 1.2986e+00  3.1993e-13  3.5112e-09
 1.3050e+00  3.1993e-13  3.5112e-09
 1.3114e+00  3.1993e-13  3.5112e-09
 1.3178e+00  3.1993e-13  3.5112e-09
 1.3242e+00  3.1993e-13  2.9151e-09
 1.3307e+00  3.1993e-13  2.9151e-09
 1.3373e+00  3.1993e-13  2.9151e-09
 1.3438e+00  3.1993e-13  2.9151e-09
 1.3504e+00  3.1993e-13  2.9151e-09
 1.3570e+00  3.1993e-13  2.9151e-09
 1.3637e+00  3.1993e-13  2.9151e-09
 1.3703e+00  3.1993e-13  2.9151e-09
 1.3771e+00  3.1993e-13  2.9151e-09
 1.3838e+00  2.6561e-13  2.9151e-09
 1.3906e+00  2.6561e-13  2.9151e-09
 1.3974e+00  2.6561e-13  2.9151e-09
 1.4043e+00  2.6561e-13  2.9151e-09
 1.4111e+00  2.6561e-13  2.9151e-09
 1.4181e+00  2.6561e-13  2.9151e-09
 1.4250e+00  2.6561e-13  2.9151e-09
 1.4320e+00  2.6561e-13  2.9151e-09
 1.4390e+00  2.6561e-13  2.9151e-09
 1.4461e+00  2.6561e-13  2.4201e-09
 1.4531e+00  2.6561e-13  2.4201e-09
 1.4603e+00  2.6561e-13  2.4201e-09
 1.4674e+00  2.6561e-13  2.4201e-09
 1.4746e+00  2.6561e-13  2.4201e-09
 1.4818e+00  2.6561e-13  2.4201e-09
 1.4891e+00  2.6561e-13  2.4201e-09
 1.4964e+00  2.6561e-13  2.4201e-09
 1.5037e+00  2.6561e-13  2.4201e-09
 1.5111e+00  2.6561e-13  2.4201e-09
 1.5185e+00  2.6561e-13  2.4201e-09
 1.5259e+00  2.6561e-13  2.4201e-09
 1.5334e+00  2.6561e-13  2.4201e-09
 1.5409e+00  2.6561e-13  2.4201e-09
 1.5485e+00  2.6561e-13  2.4201e-09
 1.5561e+00  2.6561e-13  2.4201e-09
 1.5637e+00  2.6561e-13  2.4201e-09
 1.5714e+00  2.6561e-13  2.4201e-09
 1.5791e+00  2.6561e-13  2.0092e-09
 1.5868e+00  2.6561e-13  2.0092e-09
 1.5946e+00  2.6561e-13  2.0092e-09
 1.6024e+00  2.6561e-13  2.0092e-09
 1.6102e+00  2.6561e-13  2.0092e-09
 1.6181e+00  2.6561e-13  2.0092e-09
 1.6261e+00  2.6561e-13  2.0092e-09
 1.6340e+00  2.6561e-13  2.0092e-09
 1.6420e+00  2.6561e-13  2.0092e-09
 1.6501e+00  2.6561e-13  2.0092e-09
 1.6582e+00  2.6561e-13  2.0092e-09
 1.6663e+00  2.2051e-13  2.0092e-09
 1.6745e+00  2.2051e-13  2.0092e-09
 1.6827e+00  2.2051e-13  2.0092e-09
 1.6909e+00  2.2051e-13  2.0092e-09
 1.6992e+00  2.2051e-13  2.0092e-09
 1.7075e+00  2.2051e-13  2.0092e-09
 1.7159e+00  2.2051e-13  2.0092e-09
 1.7243e+00  2.2051e-13  1.6681e-09
 1.7328e+00  2.2051e-13  1.6681e-09
 1.7412e+00  2.2051e-13  1.6681e-09
 1.7498e+00  2.2051e-13  1.6681e-09
 1.7584e+00  2.2051e-13  1.6681e-09
 1.7670e+00  2.2051e-13  1.6681e-09
 1.7756e+00  2.2051e-13  1.6681e-09
 1.7843e+00  2.2051e-13  1.6681e-09
 1.7931e+00  2.2051e-13  1.6681e-09
 1.8018e+00  2.2051e-13  1.6681e-09
 1.8107e+00  2.2051e-13  1.6681e-09
 1.8196e+00  2.2051e-13  1.6681e-09
 1.8285e+00  2.2051e-13  1.6681e-09
 1.8374e+00  2.2051e-13  1.6681e-09
 1.8464e+00  2.2051e-13  1.6681e-09
 1.8555e+00  2.2051e-13  1.6681e-09
 1.8646e+00  2.2051e-13  1.6681e-09
 1.8737e+00  2.2051e-13  1.3849e-09
 1.8829e+00  2.2051e-13  1.3849e-09
 1.8921e+00  2.2051e-13  1.3849e-09
 1.9014e+00  2.2051e-13  1.3849e-09
 1.9107e+00  2.2051e-13  1.3849e-09
 1.9201e+00  2.2051e-13  1.3849e-09
 1.9295e+00  2.2051e-13  1.3849e-09
 1.9389e+00  2.2051e-13  1.3849e-09
 1.9484e+00  2.2051e-13  1.3849e-09
 1.9580e+00  2.2051e-13  1.3849e-09
 1.9676e+00  2.2051e-13  1.3849e-09
 1.9772e+00  2.2051e-13  1.3849e-09
 1.9869e+00  2.2051e-13  1.3849e-09
 1.9967e+00  1.8307e-13  1.3849e-09
 2.0064e+00  1.8307e-13  1.3849e-09
 2.0163e+00  1.8307e-13  1.3849e-09
 2.0261e+00  1.8307e-13  1.3849e-09
 2.0361e+00  1.8307e-13  1.3849e-09
 2.0461e+00  1.8307e-13  1.1498e-09
 2.0561e+00  1.8307e-13  1.1498e-09
 2.0662e+00  1.8307e-13  1.1498e-09
 2.0763e+00  1.8307e-13  1.1498e-09
 2.0865e+00  1.8307e-13  1.1498e-09
 2.0967e+00  1.8307e-13  1.1498e-09
 2.1070e+00  1.8307e-13  1.1498e-09
 2.1173e+00  1.8307e-13  1.1498e-09
 2.1277e+00  1.8307e-13  1.1498e-09
 2.1381e+00  1.8307e-13  1.1498e-09
 2.1486e+00  1.8307e-13  1.1498e-09
 2.1591e+00  1.8307e-13  1.1498e-09
 2.1697e+00  1.8307e-13  1.1498e-09
 2.1803e+00  1.8307e-13  1.1498e-09
 2.1910e+00  1.8307e-13  1.1498e-09
 2.2017e+00  1.8307e-13  1.1498e-09
 2.2125e+00  1.8307e-13  1.1498e-09
 2.2234e+00  1.8307e-13  1.1498e-09
 2.2342e+00  1.8307e-13  9.5455e-10
 2.2452e+00  1.8307e-13  9.5455e-10
 2.2562e+00  1.8307e-13  9.5455e-10
 2.2673e+00  1.8307e-13  9.5455e-10
 2.2784e+00  1.8307e-13  9.5455e-10
 2.2895e+00  1.8307e-13  9.5455e-10
 2.3007e+00  1.8307e-13  9.5455e-10
 2.3120e+00  1.8307e-13  9.5455e-10
 2.3234e+00  1.8307e-13  9.5455e-10
 2.3347e+00  1.8307e-13  9.5455e-10
 2.3462e+00  1.8307e-13  9.5455e-10
 2.3577e+00  1.8307e-13  9.5455e-10
 2.3692e+00  1.8307e-13  9.5455e-10
 2.3808e+00  1.8307e-13  9.5455e-10
 2.3925e+00  1.8307e-13  9.5455e-10
 2.4042e+00  1.5199e-13  9.5455e-10
 2.4160e+00  1.8307e-13  9.5455e-10
 2.4279e+00  1.5199e-13  9.5455e-10
 2.4398e+00  1.5199e-13  7.9248e-10
 2.4517e+00  1.5199e-13  7.9248e-10
 2.4637e+00  1.5199e-13  7.9248e-10
 2.4758e+00  1.5199e-13  7.9248e-10
 2.4879e+00  1.5199e-13  7.9248e-10
 2.5001e+00  1.5199e-13  7.9248e-10
 2.5124e+00  1.5199e-13  7.9248e-10
 2.5247e+00  1.5199e-13  7.9248e-10
 2.5371e+00  1.5199e-13  7.9248e-10
 2.5495e+00  1.5199e-13  7.9248e-10
 2.5620e+00  1.5199e-13  7.9248e-10
 2.5745e+00  1.5199e-13  7.9248e-10
 2.5871e+00  1.5199e-13  7.9248e-10
 2.5998e+00  1.5199e-13  7.9248e-10
 2.6126e+00  1.5199e-13  7.9248e-10
 2.6254e+00  1.5199e-13  7.9248e-10
 2.6382e+00  1.5199e-13  7.9248e-10
 2.6512e+00  1.5199e-13  6.5793e-10
 2.6642e+00  1.5199e-13  6.5793e-10
 2.6772e+00  1.5199e-13  6.5793e-10
 2.6903e+00  1.5199e-13  6.5793e-10
 2.7035e+00  1.5199e-13  6.5793e-10
 2.7168e+00  1.5199e-13  6.5793e-10
 2.7301e+00  1.5199e-13  6.5793e-10
 2.7435e+00  1.5199e-13  6.5793e-10
 2.7569e+00  1.5199e-13  6.5793e-10
 2.7704e+00  1.5199e-13  6.5793e-10
 2.7840e+00  1.5199e-13  6.5793e-10
 2.7976e+00  1.5199e-13  6.5793e-10
 2.8113e+00  1.5199e-13  6.5793e-10
 2.8251e+00  1.5199e-13  6.5793e-10
 2.8390e+00  1.5199e-13  6.5793e-10
 2.8529e+00  1.5199e-13  6.5793e-10
 2.8668e+00  1.5199e-13  6.5793e-10
 2.8809e+00  1.5199e-13  6.5793e-10
 2.8950e+00  1.5199e-13  5.4623e-10
 2.9092e+00  1.2619e-13  5.4623e-10
 2.9235e+00  1.2619e-13  5.4623e-10
 2.9378e+00  1.2619e-13  5.4623e-10
 2.9522e+00  1.2619e-13  5.4623e-10
 2.9667e+00  1.2619e-13  5.4623e-10
 2.9812e+00  1.2619e-13  5.4623e-10
 2.9958e+00  1.2619e-13  5.4623e-10
 3.0105e+00  1.2619e-13  5.4623e-10
 3.0252e+00  1.2619e-13  5.4623e-10
 3.0400e+00  1.2619e-13  5.4623e-10
 3.0549e+00  1.2619e-13  5.4623e-10
 3.0699e+00  1.2619e-13  5.4623e-10
 3.0850e+00  1.2619e-13  5.4623e-10
 3.1001e+00  1.2619e-13  5.4623e-10
 3.1153e+00  1.2619e-13  5.4623e-10
 3.1305e+00  1.2619e-13  5.4623e-10
 3.1459e+00  1.2619e-13  5.4623e-10
 3.1613e+00  1.2619e-13  4.5349e-10
 3.1768e+00  1.2619e-13  4.5349e-10
 3.1924e+00  1.2619e-13  4.5349e-10
 3.2080e+00  1.2619e-13  4.5349e-10
 3.2237e+00  1.2619e-13  4.5349e-10
 3.2395e+00  1.2619e-13  4.5349e-10
 3.2554e+00  1.2619e-13  4.5349e-10
 3.2713e+00  1.2619e-13  4.5349e-10
 3.2874e+00  1.2619e-13  4.5349e-10
 3.3035e+00  1.2619e-13  4.5349e-10
 3.3197e+00  1.2619e-13  4.5349e-10
 3.3359e+00  1.2619e-13  4.5349e-10
 3.3523e+00  1.2619e-13  4.5349e-10
 3.3687e+00  1.2619e-13  4.5349e-10
 3.3852e+00  1.2619e-13  4.5349e-10
 3.4018e+00  1.2619e-13  4.5349e-10
 3.4185e+00  1.2619e-13  4.5349e-10
 3.4352e+00  1.2619e-13  4.5349e-10
 3.4521e+00  1.2619e-13  3.7649e-10
 3.4690e+00  1.2619e-13  3.7649e-10
 3.4860e+00  1.2619e-13  3.7649e-10
 3.5031e+00  1.0476e-13  3.7649e-10
 3.5202e+00  1.0476e-13  3.7649e-10
 3.5375e+00  1.0476e-13  3.7649e-10
 3.5548e+00  1.0476e-13  3.7649e-10
 3.5722e+00  1.0476e-13  3.7649e-10
 3.5897e+00  1.0476e-13  3.7649e-10
 3.6073e+00  1.0476e-13  3.7649e-10
 3.6250e+00  1.0476e-13  3.7649e-10
 3.6428e+00  1.0476e-13  3.7649e-10
 3.6606e+00  1.0476e-13  3.7649e-10
 3.6786e+00  1.0476e-13  3.7649e-10
 3.6966e+00  1.0476e-13  3.7649e-10
 3.7147e+00  1.0476e-13  3.7649e-10
 3.7329e+00  1.0476e-13  3.7649e-10
 3.7512e+00  1.0476e-13  3.1257e-10
 3.7696e+00  1.0476e-13  3.1257e-10
 3.7881e+00  1.0476e-13  3.1257e-10
 3.8066e+00  1.0476e-13  3.1257e-10
 3.8253e+00  1.0476e-13  3.1257e-10
 3.8440e+00  1.0476e-13  3.1257e-10
 3.8629e+00  1.0476e-13  3.1257e-10
 3.8818e+00  1.0476e-13  3.1257e-10
 3.9008e+00  1.0476e-13  3.1257e-10
 3.9199e+00  1.0476e-13  3.1257e-10
 3.9391e+00  1.0476e-13  3.1257e-10
 3.9584e+00  1.0476e-13  3.1257e-10
 3.9778e+00  1.0476e-13  3.1257e-10
 3.9973e+00  1.0476e-13  3.1257e-10
 4.0169e+00  1.0476e-13  3.1257e-10
 4.0366e+00  1.0476e-13  3.1257e-10
 4.0564e+00  1.0476e-13  3.1257e-10
 4.0763e+00  1.0476e-13  3.1257e-10
 4.0962e+00  1.0476e-13  2.5950e-10
 4.1163e+00  1.0476e-13  2.5950e-10
 4.1365e+00  1.0476e-13  2.5950e-10
 4.1567e+00  1.0476e-13  2.5950e-10
 4.1771e+00  1.0476e-13  2.5950e-10
 4.1976e+00  1.0476e-13  2.5950e-10
 4.2182e+00  1.0476e-13  2.5950e-10
 4.2388e+00  1.0476e-13  2.5950e-10
 4.2596e+00  8.6975e-14  2.5950e-10
 4.2805e+00  8.6975e-14  2.5950e-10
 4.3014e+00  8.6975e-14  2.5950e-10
 4.3225e+00  8.6975e-14  2.5950e-10
 4.3437e+00  8.6975e-14  2.5950e-10
 4.3650e+00  8.6975e-14  2.5950e-10
 4.3864e+00  8.6975e-14  2.5950e-10
 4.4079e+00  8.6975e-14  2.5950e-10
 4.4295e+00  8.6975e-14  2.5950e-10
 4.4512e+00  8.6975e-14  2.1544e-10
 4.4730e+00  8.6975e-14  2.1544e-10
 4.4949e+00  8.6975e-14  2.1544e-10
 4.5169e+00  8.6975e-14  2.1544e-10
 4.5391e+00  8.6975e-14  2.1544e-10
 4.5613e+00  8.6975e-14  2.1544e-10
 4.5837e+00  8.6975e-14  2.1544e-10
 4.6061e+00  8.6975e-14  2.1544e-10
 4.6287e+00  8.6975e-14  2.1544e-10
 4.6514e+00  8.6975e-14  2.1544e-10
 4.6742e+00  8.6975e-14  2.1544e-10
 4.6971e+00  8.6975e-14  2.1544e-10
 4.7201e+00  8.6975e-14  2.1544e-10
 4.7432e+00  8.6975e-14  2.1544e-10
 4.7665e+00  8.6975e-14  2.1544e-10
 4.7898e+00  8.6975e-14  2.1544e-10
 4.8133e+00  8.6975e-14  2.1544e-10
 4.8369e+00  8.6975e-14  2.1544e-10
 4.8606e+00  8.6975e-14  1.7886e-10
 4.8844e+00  8.6975e-14  1.7886e-10
 4.9084e+00  8.6975e-14  1.7886e-10
 4.9324e+00  8.6975e-14  1.7886e-10
 4.9566e+00  8.6975e-14  1.7886e-10
 4.9809e+00  8.6975e-14  1.7886e-10
 5.0053e+00  8.6975e-14  1.7886e-10
 5.0298e+00  8.6975e-14  1.7886e-10
 5.0545e+00  8.6975e-14  1.7886e-10
 5.0792e+00  8.6975e-14  1.7886e-10
 5.1041e+00  8.6975e-14  1.7886e-10
 5.1291e+00  7.2208e-14  1.7886e-10
 5.1543e+00  7.2208e-14  1.7886e-10
 5.1795e+00  7.2208e-14  1.7886e-10
 5.2049e+00  7.2208e-14  1.7886e-10
 5.2304e+00  7.2208e-14  1.7886e-10
 5.2560e+00  7.2208e-14  1.7886e-10
 5.2818e+00  7.2208e-14  1.7886e-10
 5.3077e+00  7.2208e-14  1.4850e-10
 5.3337e+00  7.2208e-14  1.4850e-10
 5.3598e+00  7.2208e-14  1.4850e-10
 5.3861e+00  7.2208e-14  1.4850e-10
 5.4125e+00  7.2208e-14  1.4850e-10
 5.4390e+00  7.2208e-14  1.4850e-10
 5.4657e+00  7.2208e-14  1.4850e-10
 5.4924e+00  7.2208e-14  1.4850e-10
 5.5194e+00  7.2208e-14  1.4850e-10
 5.5464e+00  7.2208e-14  1.4850e-10
 5.5736e+00  7.2208e-14  1.4850e-10
 5.6009e+00  7.2208e-14  1.4850e-10
 5.6283e+00  7.2208e-14  1.4850e-10
 5.6559e+00  7.2208e-14  1.4850e-10
 5.6836e+00  7.2208e-14  1.4850e-10
 5.7115e+00  7.2208e-14  1.4850e-10
 5.7395e+00  7.2208e-14  1.4850e-10
 5.7676e+00  7.2208e-14  1.2328e-10
 5.7959e+00  7.2208e-14  1.2328e-10
 5.8243e+00  7.2208e-14  1.2328e-10
 5.8528e+00  7.2208e-14  1.2328e-10
 5.8815e+00  7.2208e-14  1.2328e-10
 5.9103e+00  7.2208e-14  1.2328e-10
 5.9393e+00  7.2208e-14  1.2328e-10
 5.9684e+00  7.2208e-14  1.2328e-10
 5.9976e+00  7.2208e-14  1.2328e-10
 6.0270e+00  7.2208e-14  1.2328e-10
 6.0565e+00  7.2208e-14  1.2328e-10
 6.0862e+00  7.2208e-14  1.2328e-10
 6.1161e+00  7.2208e-14  1.2328e-10
 6.1460e+00  7.2208e-14  1.2328e-10
 6.1761e+00  5.9948e-14  1.2328e-10
 6.2064e+00  5.9948e-14  1.2328e-10
 6.2368e+00  5.9948e-14  1.2328e-10
 6.2674e+00  5.9948e-14  1.2328e-10
 6.2981e+00  5.9948e-14  1.0235e-10
 6.3290e+00  5.9948e-14  1.0235e-10
 6.3600e+00  5.9948e-14  1.0235e-10
 6.3911e+00  5.9948e-14  1.0235e-10
 6.4225e+00  5.9948e-14  1.0235e-10
 6.4539e+00  5.9948e-14  1.0235e-10
 6.4855e+00  5.9948e-14  1.0235e-10
 6.5173e+00  5.9948e-14  1.0235e-10
 6.5493e+00  5.9948e-14  1.0235e-10
 6.5814e+00  5.9948e-14  1.0235e-10
 6.6136e+00  5.9948e-14  1.0235e-10
 6.6460e+00  5.9948e-14  1.0235e-10
 6.6786e+00  5.9948e-14  1.0235e-10
 6.7113e+00  5.9948e-14  1.0235e-10
 6.7442e+00  5.9948e-14  1.0235e-10
 6.7773e+00  5.9948e-14  1.0235e-10
 6.8105e+00  5.9948e-14  1.0235e-10
 6.8438e+00  5.9948e-14  8.4975e-11
 6.8774e+00  5.9948e-14  8.4975e-11
 6.9111e+00  5.9948e-14  8.4975e-11
 6.9450e+00  5.9948e-14  8.4975e-11
 6.9790e+00  5.9948e-14  8.4975e-11
 7.0132e+00  5.9948e-14  8.4975e-11
 7.0476e+00  5.9948e-14  8.4975e-11
 7.0821e+00  5.9948e-14  8.4975e-11
 7.1168e+00  5.9948e-14  8.4975e-11
 7.1517e+00  5.9948e-14  8.4975e-11
 7.1867e+00  5.9948e-14  8.4975e-11
 7.2219e+00  5.9948e-14  8.4975e-11
 7.2573e+00  5.9948e-14  8.4975e-11
