pdg,px,py,pz,vx,vy,vz
211,0.0769253,-0.0142925,2.24844,18.7244,-3.45646,329.046
211,-0.0104622,0.0419945,0.156861,-5.96139,28.1826,2758.28
211,0.0237233,0.0218787,0.795575,38.6868,33.5937,1609.26
211,0.0237233,0.0218787,0.795575,38.6868,33.5937,1609.26
211,0.0237233,0.0218787,0.795575,38.6868,33.5937,1609.26
211,0.0237233,0.0218787,0.795575,38.6868,33.5937,1609.26
211,0.0410607,-0.11123,2.57716,2.71439,-6.63409,115.817
211,0.00595566,0.0197501,0.145648,7.01989,15.1191,251.849
211,-0.0973735,0.0499434,0.0931343,39.492,-92.2645,3004.28
211,-0.0590237,-0.0138277,1.67152,-47.5399,-12.1266,1183.88
211,-0.0590237,-0.0138277,1.67152,-47.5399,-12.1266,1183.88
211,0.0149923,0.0288908,0.757389,8.4781,-91.7122,2401.58
211,0.0149923,0.0288908,0.757389,8.4781,-91.7122,2401.58
211,0.0149923,0.0288908,0.757389,8.4781,-91.7122,2401.58
211,0.0149923,0.0288908,0.757389,8.4781,-91.7122,2401.58
211,0.0585305,-0.077073,0.780445,16.7664,-20.9206,147.825
-211,-0.159136,0.0369627,0.502641,58.2457,-59.0501,3067.57
-211,-0.159136,0.0369627,0.502641,58.2457,-59.0501,3067.57
211,-0.0499033,0.0124484,1.63028,-82.8533,24.9253,2764.48
211,0.00473832,-0.0216161,-0.22728,-5.62836,-34.4465,4804.01
211,0.0114925,0.0176934,2.43668,14.2394,15.8727,2601.34
-211,-0.0571136,0.0670003,0.38246,-6.71826,-12.7827,3780.66
211,-0.0600636,0.0101692,1.32762,-34.7134,7.97996,1255.31
-211,-0.000418217,-0.00180626,-0.0284595,19.2304,-36.4407,800.486
211,0.00766204,-0.00184737,0.580976,49.4517,-5.39625,2832
211,0.057199,0.117518,0.561456,31.6256,94.3399,2890.17
211,-0.0331477,-0.0387105,1.05228,-2.40432,-4.24117,65.1614
211,-0.0137375,-0.0183076,0.696433,-5.07647,-1.13043,420.603
211,-0.0116549,0.0241612,0.384003,-22.7252,53.4735,1172.16
-211,0.0584756,-0.0163358,0.181152,39.0238,-90.5573,2448.34
211,0.00516425,-0.0430878,0.461175,74.2967,45.3176,3288.62
211,0.00516425,-0.0430878,0.461175,74.2967,45.3176,3288.62
211,0.00516425,-0.0430878,0.461175,74.2967,45.3176,3288.62
-211,0.0222956,0.0402306,0.0734285,74.1498,56.0629,3609.63
211,0.0282009,0.015813,-0.153363,-37.0758,36.7987,3343.1
211,0.0282009,0.015813,-0.153363,-37.0758,36.7987,3343.1
211,0.0368348,-0.0108811,0.723793,59.4148,-12.3692,1336.48
211,0.0368348,-0.0108811,0.723793,59.4148,-12.3692,1336.48
211,0.0368348,-0.0108811,0.723793,59.4148,-12.3692,1336.48
211,0.0747611,-0.0887559,2.88463,33.0199,-38.3949,1134.69
211,0.0506428,0.0355026,2.90097,0.00609196,0.038738,72.5632
211,-0.0190722,-0.0157109,1.49341,-13.3408,-9.60546,609.947
211,0.0391765,-0.0292301,1.88719,74.0487,-50.2437,3819.6
211,0.00740906,-0.0131025,3.22808,1.42853,-26.2841,3489.78
211,-0.00157149,0.00870561,1.61468,-0.998925,5.69899,4175.84
211,0.00729384,0.0325194,0.7173,3.32608,22.1348,357.757
211,0.00729384,0.0325194,0.7173,3.32608,22.1348,357.757
211,0.0707207,-0.0739332,0.268405,73.802,-91.3265,2878.57
211,0.0707207,-0.0739332,0.268405,73.802,-91.3265,2878.57
211,-0.0157584,0.101759,0.71902,13.666,-38.4752,3811.92
211,-0.0185728,-0.00416103,0.0565329,10.8444,9.67718,5090.83
211,-0.0185728,-0.00416103,0.0565329,10.8444,9.67718,5090.83
211,-0.0185728,-0.00416103,0.0565329,10.8444,9.67718,5090.83
211,0.00170764,-0.0163168,1.8208,2.84258,-19.1231,4480.6
211,0.0117259,-0.0301881,3.13033,20.3424,-46.2023,4633.76
211,-0.0153168,-0.0432144,1.03105,-16.9748,-45.7684,1446.78
211,-0.0153168,-0.0432144,1.03105,-16.9748,-45.7684,1446.78
211,-0.0153168,-0.0432144,1.03105,-16.9748,-45.7684,1446.78
211,-0.00880579,0.00111753,1.39426,-19.7394,5.0867,1496
211,-0.00880579,0.00111753,1.39426,-19.7394,5.0867,1496
211,-0.00880579,0.00111753,1.39426,-19.7394,5.0867,1496
211,-0.00880579,0.00111753,1.39426,-19.7394,5.0867,1496
211,0.00697116,0.00444116,0.649174,1.06086,12.0641,2271.3
211,0.0180212,0.00600464,0.940638,65.056,19.1032,2638.15
211,0.0180212,0.00600464,0.940638,65.056,19.1032,2638.15
211,0.0180212,0.00600464,0.940638,65.056,19.1032,2638.15
211,0.0180212,0.00600464,0.940638,65.056,19.1032,2638.15
211,-0.100908,0.0341236,1.84401,-71.7432,26.0285,1365.87
211,-0.100908,0.0341236,1.84401,-71.7432,26.0285,1365.87
211,0.0118289,-0.0384146,0.881411,9.84072,-37.1124,1185.81
211,-0.000819146,-0.0108125,0.297854,-8.27625,-41.9647,1751.25
211,-0.000819146,-0.0108125,0.297854,-8.27625,-41.9647,1751.25
211,-0.00202576,-0.000877819,0.478474,7.13018,-10.7298,2754.75
211,-0.00202576,-0.000877819,0.478474,7.13018,-10.7298,2754.75
211,0.00524157,0.0112602,0.680513,12.068,37.7434,2867.25
211,0.00524157,0.0112602,0.680513,12.068,37.7434,2867.25
211,0.00524157,0.0112602,0.680513,12.068,37.7434,2867.25
211,0.00524157,0.0112602,0.680513,12.068,37.7434,2867.25
-211,-0.0866226,0.0994715,0.0463764,-22.5333,0.629922,5047.92
211,-0.215066,0.0853188,1.23099,-25.0524,68.8737,4281.62
211,-0.102691,-0.0143514,0.542483,-35.6775,13.219,345.546
211,-0.14299,0.112701,0.784702,-13.0273,11.2266,316.972
211,0.190477,0.322187,2.85688,-28.2417,77.4143,3298.03
211,-0.0301499,-0.0301124,2.02354,-29.7006,-27.6144,1543.62
211,0.0143506,-0.0337751,0.47288,31.9653,-54.0331,1466.52
211,0.0143506,-0.0337751,0.47288,31.9653,-54.0331,1466.52
211,0.0105164,0.0100187,0.110356,-23.0188,-0.376236,213.083
211,-0.0358228,-0.00799266,0.440505,-1.18514,-1.10278,195.697
-211,-0.11063,0.0135437,0.759706,-9.88606,-2.70062,292.258
211,-0.045631,-0.0269923,1.09723,-35.6291,-19.6093,993.721
-211,-0.155056,-0.0103379,0.270608,-129.588,-28.9178,4355.15
211,-0.0179088,0.00197643,1.12836,-52.9491,7.21454,4123.72
211,0.0242482,-0.00691864,0.581831,56.9161,-9.6888,1550.36
211,0.0121642,-0.0117599,0.587782,24.976,-18.8554,717.191
211,0.0121642,-0.0117599,0.587782,24.976,-18.8554,717.191
211,0.0121642,-0.0117599,0.587782,24.976,-18.8554,717.191
211,-0.066403,0.0659578,0.637167,-10.5982,10.7336,104.437
211,-0.066403,0.0659578,0.637167,-10.5982,10.7336,104.437
211,0.0183795,0.0393071,1.61631,34.502,73.3192,2872.43
211,0.0183795,0.0393071,1.61631,34.502,73.3192,2872.43
211,-0.0961031,-0.00748743,0.358266,-64.5752,-71.176,3567.94
211,0.00959507,-0.0167971,1.34308,-2.63501,-2.84532,826.411
211,-0.00603282,0.00110078,1.46362,-2.47158,0.607127,182.979
211,-0.00603282,0.00110078,1.46362,-2.47158,0.607127,182.979
211,-0.176072,0.0348083,0.244337,-97.7205,-9.37597,1604.34
211,0.0316813,0.00443181,1.22054,37.4062,4.85298,1000.94
211,0.0316813,0.00443181,1.22054,37.4062,4.85298,1000.94
211,0.0408587,-0.0273396,0.423079,-27.7784,-75.0427,4260.86
211,0.0321259,0.0206242,0.52534,9.12209,3.06961,269.799
211,0.0104632,-0.00187202,2.77917,18.5837,-7.92537,3599.4
211,0.00377299,0.00754381,0.835354,9.37697,30.2397,3748.61
211,0.00377299,0.00754381,0.835354,9.37697,30.2397,3748.61
211,0.00377299,0.00754381,0.835354,9.37697,30.2397,3748.61
211,0.0478172,-0.0100276,2.667,30.9098,-4.93004,2417.08
211,0.00445363,0.0152621,0.165431,47.2443,-64.4064,4384.46
-211,0.0296978,0.00706248,0.0620993,-51.1271,-31.1141,4621.22
-211,0.0296978,0.00706248,0.0620993,-51.1271,-31.1141,4621.22
211,-0.0303751,-0.0344813,0.69201,-11.3003,-11.9375,129.435
211,0.114965,0.0479282,2.93711,41.6684,16.893,920.409
211,0.0265764,0.0780043,1.44907,21.0559,56.0855,1310.24
211,0.000715911,-0.140783,1.17149,-0.314172,-11.0327,96.8256
211,0.0256127,0.00463668,0.858075,-5.36206,-1.55422,272.41
-211,0.0989572,0.120727,0.354043,72.1628,19.9423,1659.33
211,0.0195659,0.00784019,2.55266,32.2742,7.87031,3722.71
211,0.00586505,0.0333525,0.586819,33.7261,25.8245,1027.51
211,0.00586505,0.0333525,0.586819,33.7261,25.8245,1027.51
211,0.134921,0.0126774,0.465738,11.6726,63.4814,2480.39
211,-0.00120327,0.000906664,0.226162,10.9511,3.72463,642.063
211,-0.0965075,-0.0794452,2.36973,-59.8143,-47.9311,1323.05
211,-0.0965075,-0.0794452,2.36973,-59.8143,-47.9311,1323.05
211,-0.0965075,-0.0794452,2.36973,-59.8143,-47.9311,1323.05
-211,0.313958,0.172728,3.85982,8.91363,4.94897,172.562
211,-0.0373713,0.0310988,-0.189267,-11.1019,2.11683,141.872
211,-0.0485455,-0.00224823,0.953856,-1.27234,-0.140019,369.623
-211,-0.0915813,0.0049307,0.813777,43.0978,-52.1193,3714.35
-211,-0.0915813,0.0049307,0.813777,43.0978,-52.1193,3714.35
-211,-0.0915813,0.0049307,0.813777,43.0978,-52.1193,3714.35
